ID,Name,FullName,URL,Description,Size(KB),IsFork,Created,Updated,Language,Forks,Topics,Mined,Selected,Manual Check,Reproducible/Simulation,Launch + Config (linked),Notes,Complete:,20
R11,gazebo_ros2_control,ros-controls/gazebo_ros2_control,https://github.com/ros-controls/gazebo_ros2_control,"Wrappers, tools and additional API's for using ros2_control with Gazebo Classic",1815,FALSE,2020-05-22T21:31:59Z,2024-07-01T13:40:51Z,C++,118,"['gazebo', 'gazebo-classic', 'ros', 'ros2']",yes,yes,MAYBE,,,,,
R12,patchwork-plusplus-ros,url-kaist/patchwork-plusplus-ros,https://github.com/url-kaist/patchwork-plusplus-ros,ROS & ROS2 Implementation of Patchwork++,27431,FALSE,2022-07-26T13:12:05Z,2024-07-04T14:56:10Z,C++,66,"['3d-point-cloud', 'ground', 'ground-removal', 'ground-segmentation', 'lidar', 'point-cloud', 'ros', 'segmentation']",yes,yes,MAYBE,,,,,
R13,ros2_planning_system,PlanSys2/ros2_planning_system,https://github.com/PlanSys2/ros2_planning_system,This repo contains a PDDL-based planning system for ROS2.,2661,FALSE,2019-11-18T11:10:12Z,2024-07-05T09:43:57Z,C++,79,[],yes,yes,MAYBE,,,,,
R14,ros2-performance,irobot-ros/ros2-performance,https://github.com/irobot-ros/ros2-performance,Framework to evaluate peformance of ROS 2,1953,FALSE,2019-04-10T22:54:19Z,2024-07-01T22:13:09Z,C++,60,"['benchmark', 'cpp', 'performance', 'ros2']",yes,no,no,,,,,
R15,bluespace_ai_xsens_ros_mti_driver,bluespace-ai/bluespace_ai_xsens_ros_mti_driver,https://github.com/bluespace-ai/bluespace_ai_xsens_ros_mti_driver,xsens ros2 driver,5556,FALSE,2021-04-30T22:04:04Z,2024-06-10T09:59:41Z,C++,56,[],yes,yes,MAYBE,,,,,
R16,ros2-for-unity,RobotecAI/ros2-for-unity,https://github.com/RobotecAI/ros2-for-unity,High-performance ROS2 solution for Unity3D,727,FALSE,2021-08-19T12:52:18Z,2024-07-05T02:38:45Z,C#,55,"['performance', 'ros2', 'ros2-foxy', 'ros2-galactic', 'ros2-humble', 'simulation', 'unity', 'unity3d']",yes,no,no,,,,,
R17,docker-ros2-desktop-vnc,Tiryoh/docker-ros2-desktop-vnc,https://github.com/Tiryoh/docker-ros2-desktop-vnc,🐳 Dockerfiles to provide HTML5 VNC interface to access Ubuntu Desktop + ROS 2,162,FALSE,2020-01-02T09:47:30Z,2024-07-04T05:05:35Z,Shell,76,"['desktop', 'docker', 'dockerfile', 'ros2', 'vnc']",yes,no,no,,,,,
R18,ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF,noshluk2/ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF,https://github.com/noshluk2/ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF,ROS2 based custom robotic arm with ros2_control,23422,FALSE,2019-05-30T00:35:01Z,2024-07-05T05:12:55Z,Jupyter Notebook,33,"['gazebo', 'robotic-arm', 'robotics', 'ros2-control', 'ros2-humble', 'rviz', 'urdf']",yes,yes,MAYBE,,,,,
R19,ydlidar_ros2_driver,YDLIDAR/ydlidar_ros2_driver,https://github.com/YDLIDAR/ydlidar_ros2_driver,ydlidar driver package under ros2,803,FALSE,2020-06-17T07:19:26Z,2024-06-28T02:17:30Z,C++,92,[],yes,yes,MAYBE,,,,,
R20,sllidar_ros2,Slamtec/sllidar_ros2,https://github.com/Slamtec/sllidar_ros2,,220,FALSE,2022-02-13T09:06:06Z,2024-07-04T14:01:00Z,C++,73,[],yes,yes,MAYBE,,,,,
R21,d2l-ros2,fishros/d2l-ros2,https://github.com/fishros/d2l-ros2,动手学ROS2课程配套教程，欢迎关注公众号《鱼香ROS》,154445,FALSE,2021-09-08T13:17:29Z,2024-07-05T08:35:23Z,,65,[],yes,no,no,,,,,
R22,ros2_ouster_drivers,ros-drivers/ros2_ouster_drivers,https://github.com/ros-drivers/ros2_ouster_drivers,"ROS2 Drivers for the Ouster OS-0, OS-1, and OS-2 Lidars",239,FALSE,2019-12-29T05:13:01Z,2024-07-03T17:42:52Z,C++,78,"['drivers', 'ouster', 'ouster-sensor', 'ros', 'ros2']",yes,yes,MAYBE,,,,,
R23,Universal_Robots_ROS2_Description,UniversalRobots/Universal_Robots_ROS2_Description,https://github.com/UniversalRobots/Universal_Robots_ROS2_Description,ROS2 URDF description for Universal Robots,24941,FALSE,2021-12-15T12:19:48Z,2024-07-01T05:57:33Z,Python,93,"['robotics', 'ros2', 'universal-robots', 'ur10', 'ur10e', 'ur16e', 'ur20', 'ur3', 'ur3e', 'ur5', 'ur5e']",yes,yes,MAYBE,,,,,
R24,ros2_canopen,ros-industrial/ros2_canopen,https://github.com/ros-industrial/ros2_canopen,CANopen driver framework for ROS2,39434,FALSE,2022-03-28T08:30:05Z,2024-07-04T07:47:05Z,C++,52,"['canopen', 'robotics', 'ros2']",yes,yes,MAYBE,,,,,
R25,ORB_SLAM3_ROS2,zang09/ORB_SLAM3_ROS2,https://github.com/zang09/ORB_SLAM3_ROS2,ROS2 wrapping package for orbslam3 library,169551,FALSE,2022-08-04T02:45:04Z,2024-07-05T08:06:13Z,C++,65,[],yes,yes,MAYBE,,,,,
R26,spot_ros2,bdaiinstitute/spot_ros2,https://github.com/bdaiinstitute/spot_ros2,ROS 2 driver package for Boston Dynamics' Spot,41918,FALSE,2022-04-19T15:12:21Z,2024-07-03T14:34:15Z,C++,50,[],yes,yes,MAYBE,,,,,
R27,xarm_ros2,xArm-Developer/xarm_ros2,https://github.com/xArm-Developer/xarm_ros2,ROS2 developer packages for robotic products from UFACTORY,10880,FALSE,2021-06-15T03:45:59Z,2024-07-05T03:49:41Z,Python,58,"['gazebo', 'robotics', 'ros2']",yes,yes,MAYBE,,,,,
R28,ros2_21_tutorials,guyuehome/ros2_21_tutorials,https://github.com/guyuehome/ros2_21_tutorials,,3544,FALSE,2022-05-30T10:25:48Z,2024-07-04T11:52:57Z,Python,56,[],yes,yes,MAYBE,,,,,
R29,gz_ros2_control,ros-controls/gz_ros2_control,https://github.com/ros-controls/gz_ros2_control,Connect the latest version of Gazebo with ros2_control.,882,FALSE,2021-03-11T16:52:55Z,2024-07-04T19:42:40Z,C++,70,"['gazebo', 'ignitionrobotics', 'robot-control', 'robot-simulation', 'ros', 'ros2', 'ros2-control']",yes,yes,yes,yes,yes,URDFs link to the yaml files.,,
R30,livox_ros2_driver,Livox-SDK/livox_ros2_driver,https://github.com/Livox-SDK/livox_ros2_driver,"Livox device driver under Ros2, support Lidar Mid-40, Mid-70, Tele-15, Horizon, Avia.",424,FALSE,2020-11-06T09:36:23Z,2024-05-09T18:20:34Z,C++,81,[],yes,yes,MAYBE,,,,,
R31,franka_ros2,frankaemika/franka_ros2,https://github.com/frankaemika/franka_ros2,ROS 2 integration for Franka research robots,4440,FALSE,2021-12-13T13:06:18Z,2024-07-05T15:01:12Z,C++,57,"['robotics', 'ros2']",yes,yes,MAYBE,,,,,
R32,li_slam_ros2,rsasaki0109/li_slam_ros2,https://github.com/rsasaki0109/li_slam_ros2,ROS 2 package of tightly-coupled lidar inertial ndt/gicp slam,3845,FALSE,2020-07-09T00:27:50Z,2024-07-04T04:57:06Z,C++,40,"['g2o', 'gicp', 'gtsam', 'lidar', 'loop-closure', 'ndt', 'ros2', 'slam']",yes,yes,MAYBE,,,,,
R33,lidar_localization_ros2,rsasaki0109/lidar_localization_ros2,https://github.com/rsasaki0109/lidar_localization_ros2,3D LIDAR Localization using NDT/GICP and pointcloud map in ROS 2 (Not SLAM),165,FALSE,2020-04-18T23:33:07Z,2024-07-04T03:28:44Z,C++,43,"['gicp', 'lidar', 'localization', 'ndt', 'pcl', 'ros2']",yes,yes,MAYBE,,,,,
R34,rmf_ros2,open-rmf/rmf_ros2,https://github.com/open-rmf/rmf_ros2,Internal ROS infrastructure for RMF,3923,FALSE,2021-03-05T01:16:40Z,2024-07-05T15:22:01Z,C++,55,[],yes,yes,MAYBE,,,,,
R35,FogROS2,BerkeleyAutomation/FogROS2,https://github.com/BerkeleyAutomation/FogROS2,An Adaptive and Extensible Platform for Cloud and Fog Robotics Using ROS 2,89371,FALSE,2022-02-01T20:27:23Z,2024-06-24T08:01:49Z,Python,28,['ros2'],yes,yes,MAYBE,,,,,
R36,tello-ros2,tentone/tello-ros2,https://github.com/tentone/tello-ros2,ROS2 node for DJI Tello and Visual SLAM for mapping of indoor environments.,2186,FALSE,2020-11-04T12:13:10Z,2024-06-27T16:51:57Z,C++,40,"['dji-tello', 'dji-tello-edu', 'drone', 'ros-foxy', 'ros2', 'slam']",yes,no,no,,,,,
R37,diablo_ros2,DDTRobot/diablo_ros2,https://github.com/DDTRobot/diablo_ros2,diablo ros2 package,5540,FALSE,2022-07-15T08:31:43Z,2024-07-01T07:32:32Z,C++,28,[],yes,no,no,,,,,
R38,limo_ros2,agilexrobotics/limo_ros2,https://github.com/agilexrobotics/limo_ros2,limo ros2 packages,30377,FALSE,2021-09-02T02:26:51Z,2024-06-29T16:22:55Z,Python,34,[],yes,yes,MAYBE,,,,,
R39,ros2_cheats_sheet,ubuntu-robotics/ros2_cheats_sheet,https://github.com/ubuntu-robotics/ros2_cheats_sheet,A collection of ROS2-related cheats sheet,289,FALSE,2019-06-20T12:56:12Z,2024-06-20T19:10:24Z,TeX,43,[],yes,no,no,,,,,
R40,direct_visual_lidar_calibration,koide3/direct_visual_lidar_calibration,https://github.com/koide3/direct_visual_lidar_calibration,A toolbox for target-less LiDAR-camera calibration [ROS1/ROS2],842,FALSE,2022-09-13T01:06:03Z,2024-07-04T06:22:58Z,C++,83,"['calibration', 'camera', 'lidar', 'nid', 'ros', 'ros2']",yes,no,no,,,,,
R41,ROS2-Path-Planning-and-Maze-Solving,HaiderAbasi/ROS2-Path-Planning-and-Maze-Solving,https://github.com/HaiderAbasi/ROS2-Path-Planning-and-Maze-Solving,Developing a maze solving robot in ROS2 that leverages information from a drone or Satellite's camera using OpenCV algorithms to find its path to the goal and solve the maze. :),56874,FALSE,2021-08-25T15:16:27Z,2024-06-30T10:07:36Z,Python,103,"['astar-algorithm', 'depth-first-search', 'dijikstra-algorithm', 'mapping', 'mazesolving', 'navigation', 'opencv', 'path-planning', 'python', 'robotics', 'ros']",yes,no,no,,,,,
R42,ros2_tracing,ros2/ros2_tracing,https://github.com/ros2/ros2_tracing,Tracing tools for ROS 2.,3397,FALSE,2020-01-26T16:20:15Z,2024-07-04T16:29:10Z,Python,36,"['instrumentation', 'performance-analysis', 'ros', 'ros2', 'ros2-tracing', 'tools', 'tracing']",yes,yes,MAYBE,,,,,
R43,ros2_RobotSimulation,IFRA-Cranfield/ros2_RobotSimulation,https://github.com/IFRA-Cranfield/ros2_RobotSimulation,ROS2.0 Foxy and Humble repositories which provide ready-to-use ROS2.0 Gazebo + MoveIt!2 simulation packages for different Industrial and Collaborative Robots.,42118,FALSE,2022-07-22T10:58:55Z,2024-07-02T12:36:58Z,Python,42,"['abb-robots', 'automation', 'collaborative-robots', 'flexible-automation', 'gazebo', 'grasping', 'industrial-robots', 'intelligent-automation', 'moveit', 'moveit2', 'panda-robot', 'research', 'robot', 'robotics', 'ros', 'ros2', 'ros2-foxy', 'simulation', 'universal-robots']",yes,yes,yes,yes,yes,,,
R44,m-explore-ros2,robo-friends/m-explore-ros2,https://github.com/robo-friends/m-explore-ros2,Explore_lite port to ROS2,176,FALSE,2021-08-04T02:23:52Z,2024-07-02T16:21:02Z,C++,37,[],yes,yes,MAYBE,,,,,
R45,ros2_i_training,ros-industrial/ros2_i_training,https://github.com/ros-industrial/ros2_i_training,,64941,FALSE,2021-01-15T13:10:11Z,2024-06-27T12:10:54Z,HTML,40,[],yes,no,no,,,,,
R46,ros2-mecanum-bot,deborggraever/ros2-mecanum-bot,https://github.com/deborggraever/ros2-mecanum-bot,ROS2 Mecanum wheel robot,571,FALSE,2021-03-15T21:29:56Z,2024-07-04T08:33:07Z,C++,26,[],yes,yes,MAYBE,,,,,
R47,rules_ros2,mvukov/rules_ros2,https://github.com/mvukov/rules_ros2,Build ROS 2 with Bazel,788,FALSE,2021-05-13T20:40:10Z,2024-07-03T18:59:42Z,Starlark,42,"['bazel', 'robot-operating-system', 'robotics', 'ros-2', 'ros2']",yes,no,no,,,,,
R48,jetbot-ros2,jdgalviss/jetbot-ros2,https://github.com/jdgalviss/jetbot-ros2,ROS 2 implementation of a Teleoperated robot with live video feed using webrtc and SLAM using realsense's stereocameras. Running on a Jetson Nano,31058,FALSE,2020-12-01T13:04:54Z,2024-06-21T07:46:28Z,Python,31,"['cartographer', 'jetbot', 'ros2', 'rtabmap', 'teleoperation', 'webrtc']",yes,no,no,,,,,
R49,dynamixel_hardware,dynamixel-community/dynamixel_hardware,https://github.com/dynamixel-community/dynamixel_hardware,ros2_control packages for ROBOTIS Dynamixel,1384,FALSE,2021-01-22T07:20:11Z,2024-07-02T17:35:49Z,C++,47,"['cpp', 'dynamixel', 'robotics', 'robotis', 'ros2', 'ros2-control', 'ros2-foxy', 'ros2-humble', 'ros2-rolling']",yes,no,no,,,,,
R50,YOLOX-ROS,Ar-Ray-code/YOLOX-ROS,https://github.com/Ar-Ray-code/YOLOX-ROS,YOLOX + ROS2 object detection package (C++ only support),22898,FALSE,2021-07-22T04:18:56Z,2024-06-29T19:45:18Z,C++,55,"['humble', 'object-detection', 'onnxruntime', 'opencv', 'openvino', 'ros2', 'tensorrt', 'tflite', 'yolox']",yes,no,no,,,,,
R51,VINS-Fusion-ROS2,zinuok/VINS-Fusion-ROS2,https://github.com/zinuok/VINS-Fusion-ROS2,ROS2 version of VINS-Fusion,82639,FALSE,2022-04-22T04:55:48Z,2024-07-04T06:30:19Z,C++,31,[],yes,yes,MAYBE,,,,,
R52,ros_k8s,fujitatomoya/ros_k8s,https://github.com/fujitatomoya/ros_k8s,Kuberenetes / ROS&ROS2 Cluster Samples,13198,FALSE,2020-02-21T15:05:15Z,2024-07-03T14:14:17Z,HTML,25,[],yes,no,no,,,,,
R53,pendulum,ros2-realtime-demo/pendulum,https://github.com/ros2-realtime-demo/pendulum,"ROS, ROS2, real-time, control, pendulum",5417,FALSE,2019-10-25T14:54:40Z,2024-07-04T09:16:36Z,C++,36,"['ade', 'balance', 'cart', 'demo', 'pendulum-demo', 'raspberry-pi', 'real-time', 'robotics', 'robotics-control', 'ros', 'ros2']",yes,yes,MAYBE,,,,,
R54,ros2multirobotbook,osrf/ros2multirobotbook,https://github.com/osrf/ros2multirobotbook,,26022,FALSE,2020-05-13T08:28:59Z,2024-06-18T09:47:56Z,TypeScript,29,[],yes,no,no,,,,,
R55,ethercat_driver_ros2,ICube-Robotics/ethercat_driver_ros2,https://github.com/ICube-Robotics/ethercat_driver_ros2,Hardware Interface for EtherCAT module integration with ros2_control,4054,FALSE,2022-05-13T14:30:53Z,2024-07-02T06:29:24Z,C++,32,"['driver', 'ethercat', 'industrial-automation', 'robot-control', 'robotics', 'ros', 'ros2', 'ros2-control']",yes,no,no,,,,,
R56,ros2-seminar-examples,robotpilot/ros2-seminar-examples,https://github.com/robotpilot/ros2-seminar-examples,ROS 2 example packages for the ROS 2 seminar,300,FALSE,2020-10-25T23:32:35Z,2024-06-30T09:30:31Z,Python,41,"['robotics', 'ros2']",yes,yes,MAYBE,,,,,
R57,OrbbecSDK_ROS2,orbbec/OrbbecSDK_ROS2,https://github.com/orbbec/OrbbecSDK_ROS2,OrbbecSDK ROS2 wrapper,217549,FALSE,2023-05-11T02:16:05Z,2024-07-03T14:04:16Z,C++,19,"['3d', 'camera', 'depth-camera', 'robotics', 'ros2']",yes,yes,MAYBE,,,,,
R58,abb_ros2,PickNikRobotics/abb_ros2,https://github.com/PickNikRobotics/abb_ros2,,7943,FALSE,2022-03-01T15:15:23Z,2024-07-04T20:06:21Z,C++,31,[],yes,yes,MAYBE,,,,,
R59,vox_nav,NMBURobotics/vox_nav,https://github.com/NMBURobotics/vox_nav,A navigation system for outdoor robotics in rough uneven terrains.,1020751,FALSE,2020-11-03T02:31:35Z,2024-07-04T08:32:29Z,C++,41,"['navigation', 'ros2']",yes,yes,MAYBE,,,,,
R60,plotjuggler-ros-plugins,PlotJuggler/plotjuggler-ros-plugins,https://github.com/PlotJuggler/plotjuggler-ros-plugins,Many PlotJuggler plugins for ROS and ROS2.,499,FALSE,2020-10-16T15:04:52Z,2024-05-27T14:06:05Z,C++,45,[],yes,yes,MAYBE,,,,,
R61,ros2bag_tools,AIT-Assistive-Autonomous-Systems/ros2bag_tools,https://github.com/AIT-Assistive-Autonomous-Systems/ros2bag_tools,Tool extensions for ros2bag cli,332,FALSE,2021-03-08T14:59:14Z,2024-07-05T05:37:47Z,Python,30,[],yes,no,no,,,,,
R62,rostaller,RocShi/rostaller,https://github.com/RocShi/rostaller,"Make it easy for you to install ROS 1 (indigo, kinetic, melodic and noetic) and ROS 2 (galactic) on corresponding ubuntu distributions automatically in just 4 steps.",842,FALSE,2021-07-04T19:15:04Z,2024-06-25T00:07:43Z,Python,44,"['ros', 'ros2']",yes,no,no,,,,,
R63,generate_parameter_library,PickNikRobotics/generate_parameter_library,https://github.com/PickNikRobotics/generate_parameter_library,Declarative ROS 2 Parameters,395,FALSE,2022-07-20T16:35:18Z,2024-06-29T15:48:07Z,Python,38,"['ros', 'ros2']",yes,yes,MAYBE,,,,,
R64,lbr_fri_ros2_stack,lbr-stack/lbr_fri_ros2_stack,https://github.com/lbr-stack/lbr_fri_ros2_stack,ROS 1/2 integration for KUKA LBR IIWA 7/14 and Med 7/14,82507,FALSE,2019-11-28T13:53:36Z,2024-06-30T11:30:49Z,C++,34,"['kuka-lbr-iiwa', 'kuka-lbr-med', 'ros2']",yes,yes,MAYBE,,,,,
R65,cartesian_controllers,fzi-forschungszentrum-informatik/cartesian_controllers,https://github.com/fzi-forschungszentrum-informatik/cartesian_controllers,A set of Cartesian controllers for the ROS1 and ROS2-control framework.,1721,FALSE,2019-10-22T10:02:10Z,2024-07-04T18:56:12Z,C++,100,[],yes,yes,MAYBE,,,,,
R66,ldrobot-lidar-ros2,Myzhar/ldrobot-lidar-ros2,https://github.com/Myzhar/ldrobot-lidar-ros2,ROS2 package for LDRobot lidar. Based on ROS2 Lifecycle nodes,2254,FALSE,2021-09-14T18:24:46Z,2024-07-04T10:42:34Z,C++,17,"['ld-air', 'ld16', 'ld19', 'ldlidar', 'ros2', 'scan']",yes,yes,MAYBE,,,,,
R67,ros2-vicon-receiver,OPT4SMART/ros2-vicon-receiver,https://github.com/OPT4SMART/ros2-vicon-receiver,Vicon Receiver for ROS2,1115,FALSE,2020-09-15T10:33:34Z,2024-07-05T14:18:06Z,C++,34,"['ros2', 'vicon']",yes,yes,MAYBE,,,,,
R68,iiwa_ros2,ICube-Robotics/iiwa_ros2,https://github.com/ICube-Robotics/iiwa_ros2,ROS2 stack for KUKA iiwa collaborative robots,14216,FALSE,2022-03-16T15:53:02Z,2024-06-12T23:03:18Z,C++,26,"['drivers', 'gazebo', 'kuka-iiwa', 'moveit2', 'robotics', 'ros2', 'ros2-control']",yes,yes,MAYBE,,,,,
R69,ros2_kortex,Kinovarobotics/ros2_kortex,https://github.com/Kinovarobotics/ros2_kortex,ROS2 driver for the Gen3 Kinova robot arm,16578,FALSE,2021-07-28T15:49:15Z,2024-07-01T06:32:04Z,Python,33,[],yes,yes,MAYBE,,,,,
R70,ros2cs,RobotecAI/ros2cs,https://github.com/RobotecAI/ros2cs,"A C# (.Net) implementation of ros2 client library (rcl), enabling  communication between ros2 ecosystem and C#/.Net applications such as Unity3D",309,FALSE,2021-08-19T12:51:30Z,2024-06-25T08:20:09Z,C#,22,"['csharp', 'dotnet', 'rcl', 'ros', 'ros2', 'unity3d']",yes,no,no,,,,,
R71,vesc,f1tenth/vesc,https://github.com/f1tenth/vesc,Repository for the VESC Controller (ROS1 and ROS2),168,FALSE,2020-11-13T23:41:05Z,2024-05-29T03:30:41Z,C++,69,[],yes,yes,MAYBE,,,,,
R72,autoware_launch,autowarefoundation/autoware_launch,https://github.com/autowarefoundation/autoware_launch,,2109,FALSE,2021-11-19T06:51:38Z,2024-07-05T12:17:12Z,Python,213,"['autoware', 'ros', 'ros2']",yes,yes,MAYBE,,,,,
R73,go2_ros2_sdk,abizovnuralem/go2_ros2_sdk,https://github.com/abizovnuralem/go2_ros2_sdk,Unofficial ROS2 SDK support for Unitree GO2 AIR/PRO/EDU,153644,FALSE,2024-02-19T18:43:34Z,2024-07-04T19:25:10Z,Python,26,"['go2', 'ros', 'ros2', 'unitree', 'unitree-go2']",yes,yes,MAYBE,,,,,
R74,ros2_jetson,NVIDIA-AI-IOT/ros2_jetson,https://github.com/NVIDIA-AI-IOT/ros2_jetson,,5274,FALSE,2021-02-08T20:38:18Z,2024-06-18T05:37:50Z,Shell,22,[],yes,no,no,,,,,
R75,mycobot_ros2,elephantrobotics/mycobot_ros2,https://github.com/elephantrobotics/mycobot_ros2,myCobot ROS2 package,189295,FALSE,2022-06-06T11:33:35Z,2024-06-24T14:36:23Z,Python,20,[],yes,yes,MAYBE,,,,,
R76,ros2_explorer,DaniGarciaLopez/ros2_explorer,https://github.com/DaniGarciaLopez/ros2_explorer,"In this repo we use Turtlebot 3 along with ROS 2 and Gazebo to explore an unknown csv environment, navigate through it and create a map",2942,FALSE,2021-03-18T19:20:21Z,2024-07-02T03:37:07Z,Python,20,"['cartographer', 'csv-maps', 'gazebo', 'nav2', 'ros2-foxy', 'turtlebot3']",yes,yes,MAYBE,,,,,
R77,ros2_shm_msgs,ZhenshengLee/ros2_shm_msgs,https://github.com/ZhenshengLee/ros2_shm_msgs,ROS2 shm_msg based zero-copy for image and pointcloud.,10382,FALSE,2021-07-29T08:14:55Z,2024-07-05T14:33:25Z,C++,21,"['ipc', 'rclcpp', 'ros2', 'zero-copy']",yes,yes,MAYBE,,,,,
R78,transport_drivers,ros-drivers/transport_drivers,https://github.com/ros-drivers/transport_drivers,A set of ROS2 drivers for transport-layer protocols.,175,FALSE,2019-08-12T17:39:28Z,2024-06-27T16:27:36Z,C++,53,"['ros2', 'transport-layer', 'transport-layer-protocol']",yes,yes,MAYBE,,,,,
R79,ros2_robotiq_gripper,PickNikRobotics/ros2_robotiq_gripper,https://github.com/PickNikRobotics/ros2_robotiq_gripper,,2590,FALSE,2022-06-22T20:08:25Z,2024-07-01T03:02:45Z,C++,30,[],yes,yes,MAYBE,,,,,
R80,UnitySensors,Field-Robotics-Japan/UnitySensors,https://github.com/Field-Robotics-Japan/UnitySensors,ROS/ROS2 enabled Sensor models (Assets) on Unity,134353,FALSE,2020-05-07T13:09:20Z,2024-06-27T12:06:34Z,C#,28,"['asset', 'gnss', 'imu', 'lidar', 'livox', 'realsense', 'ros', 'ros2', 'simulation', 'simulator', 'unity', 'velodyne']",yes,no,no,,,,,
R81,stretch_ros2,hello-robot/stretch_ros2,https://github.com/hello-robot/stretch_ros2,ROS 2 packages for the Stretch mobile manipulators from Hello Robot Inc.,36447,FALSE,2021-09-14T04:54:01Z,2024-07-02T16:52:24Z,Python,22,[],yes,yes,MAYBE,,,,,
R82,ros2_for_beginners_code,homalozoa/ros2_for_beginners_code,https://github.com/homalozoa/ros2_for_beginners_code,《ROS 2机器人编程实战——基于现代C++和Python 3》配套代码及相关内容维护,984,FALSE,2021-12-14T13:43:43Z,2024-06-28T08:00:28Z,C++,24,"['ros2', 'tutorials']",yes,yes,MAYBE,,,,,
R83,esp32_ros2_robot,ZhaoXiangBox/esp32_ros2_robot,https://github.com/ZhaoXiangBox/esp32_ros2_robot,Build a esp32 ROS foxy robot(diff ackermann tank) step by step.,331939,FALSE,2023-04-14T11:27:47Z,2024-07-05T11:52:54Z,C,25,[],yes,no,no,,,,,
R84,ros2-picas,rtenlab/ros2-picas,https://github.com/rtenlab/ros2-picas,ROS2-PiCAS source,64136,FALSE,2021-07-20T01:27:43Z,2024-05-12T18:07:17Z,C++,14,[],yes,no,no,,,,,
